"eventFile";"eventId";"alreadyDone";"customLocRemaining"
"Aakhetist.txt";"aakhetist.01.d";"true";"false"
"Aakhetist.txt";"aakhetist.02.d";"true";"false"
"Aakhetist.txt";"aakhetist.03.d";"true";"false"
"Aakhetist.txt";"aakhetist.04.d";"true";"false"
"Aakhetist.txt";"aakhetist.05.d";"true";"false"
"Aakhetist.txt";"aakhetist.20.d";"true";"false"
"Aakhetist.txt";"aakhetist.21.d";"true";"false"
"Aakhetist.txt";"aakhetist.22.d";"true";"false"
"Aakhetist.txt";"aakhetist.23.d";"true";"false"
"Aakhetist.txt";"aakhetist.24.d";"true";"false"
"Aakhetist.txt";"aakhetist.25.d";"true";"false"
"Aakhetist.txt";"aakhetist.26.d";"true";"false"
"Aakhetist.txt";"aakhetist.27.d";"true";"false"
"Aakhetist.txt";"aakhetist.28.d";"true";"false"
"Aakhetist.txt";"aakhetist.29.d";"true";"false"
"Aakhetist.txt";"aakhetist.30.d";"true";"false"
"Aakhetist.txt";"aakhetist.31.d";"true";"false"
"Aakhetist.txt";"aakhetist.33.d1";"true";"false"
"Aakhetist.txt";"aakhetist.33.d2";"true";"false"
"Aakhetist.txt";"aakhetist.35.d1";"true";"false"
"Aakhetist.txt";"aakhetist.35.d2";"true";"false"
"Aakhetist.txt";"aakhetist.37.d1";"true";"false"
"Aakhetist.txt";"aakhetist.37.d2";"true";"false"
"Aakhetist.txt";"aakhetist.38.d1";"true";"false"
"Aakhetist.txt";"aakhetist.38.d2";"true";"false"
"Aakhetist.txt";"aakhetist.39.d";"true";"false"
"Aakhetist.txt";"aakhetist.40.d";"true";"false"
"Aakhetist.txt";"aakhetist.50.d";"true";"false"
"Aakhetist.txt";"aakhetist.51.d";"true";"false"
"Aakhetist.txt";"aakhetist.52.d";"true";"false"
"Aakhetist.txt";"aakhetist.53.d";"true";"false"
"Aakhetist.txt";"aakhetist.54.d";"true";"false"
"Aakhetist.txt";"aakhetist.55.d";"true";"false"
"Aakhetist.txt";"aakhetist.56.d";"true";"false"
"Aakhetist.txt";"aakhetist.57.d";"true";"false"
"Aakhetist.txt";"aakhetist.58.d";"true";"false"
"Aakhetist.txt";"aakhetist.59.d";"true";"false"
"Aakhetist.txt";"aakhetist.60.d";"true";"false"
"Accretive_Path_Events.txt";"accretive_path_events.1.d";"true";"false"
"Accretive_Path_Events.txt";"accretive_path_events.2.d";"true";"false"
"Accretive_Path_Events.txt";"accretive_path_events.3.d";"true";"false"
"Accretive_Path_Events.txt";"accretive_path_events.4.d";"true";"false"
"Accretive_Path_Events.txt";"accretive_path_events.5.d";"true";"false"
"Accretive_Path_Events.txt";"accretive_path_events.6.d";"true";"false"
"Accretive_Path_Events.txt";"accretive_path_events.7.d";"true";"false"
"Accretive_Path_Events.txt";"accretive_path_events.8.d";"true";"false"
"Accretive_Path_Events.txt";"accretive_path_events.9.d";"true";"false"
"Accretive_Path_Events.txt";"accretive_path_events.11.d";"true";"false"
"Accretive_Path_Events.txt";"accretive_path_events.13.d";"true";"false"
"Accretive_Path_Events.txt";"accretive_path_events.10.d";"true";"false"
"Accretive_Path_Events.txt";"accretive_path_events.12.d";"true";"false"
"AdventurerFormables.txt";"marcher.1.d";"true";"false"
"AdventurerFormables.txt";"marcher.2.d";"true";"false"
"AdventurerFormables.txt";"marcher.3.d";"true";"false"
